miR	Score	AvgRandScore	sd(randScore)	max(randScore)	Rank	count>=	pValue	FDR(0.05) thresh	BH-sig	pv_corrected	pv_adjusted
miR-1298	0.2778	0.0546	0.0539	0.2536	1	1	0.000998	0.000156	0	0.319361	0.319361	,GPCPD1,ANKRD1,CYP24A1,FOS
miR-300/300-3p	0.3333	0.0753	0.0685	0.4381	2	5	0.004990	0.000313	0	0.798403	0.510978	,GPCPD1,ANKRD1,EGR1,TMSB4X
miR-431	0.2639	0.0598	0.0600	0.4038	3	5	0.004990	0.000469	0	0.532269	0.510978	,ANKRD1,ANXA3,FOS,ARRDC3
miR-181abcd/4262	0.4583	0.1572	0.1062	0.7856	4	7	0.006986	0.000625	0	0.558882	0.510978	,GPCPD1,CYR61,EGR1,FOS,ARRDC3,DUSP5
miR-466b/466aep-5p/1187	0.3958	0.0881	0.0873	0.6424	5	8	0.007984	0.000781	0	0.510978	0.510978	,LCK,SNX3,ARRDC3,MBL2
miR-125a-3p/1554	0.3333	0.0973	0.0795	0.4319	6	10	0.009980	0.000938	0	0.532269	0.513259	,GPCPD1,FOS,IL11,ARRDC3,SOCS3
miR-582-3p/1267/1396	0.2222	0.0576	0.0569	0.4131	7	12	0.011976	0.001094	0	0.547476	0.513259	,IL11,ARRDC3,SOCS3
miR-199ab-3p/3129-5p	0.2778	0.0658	0.0671	0.4207	8	13	0.012974	0.001250	0	0.518962	0.513259	,EGR1,CYP24A1,DUSP5,TMSB4X
miR-343/4287/4685-3p	0.3472	0.1185	0.0894	0.5427	9	16	0.015968	0.001406	0	0.567753	0.513259	,ANKRD1,EGR1,ARRDC3,SOCS3
miR-218/218a	0.3750	0.1284	0.0978	0.6663	10	18	0.017964	0.001563	0	0.574850	0.513259	,CYP24A1,ARRDC3,SOCS3,DUSP5
miR-223	0.2500	0.0757	0.0694	0.3572	11	21	0.020958	0.001719	0	0.609690	0.513259	,CYP24A1,ARRDC3,DUSP5
miR-183	0.2222	0.0688	0.0651	0.3523	12	25	0.024950	0.001875	0	0.665336	0.513259	,LCK,EGR1,TMSB4X
miR-598/598-3p	0.0694	0.0060	0.0196	0.1846	13	25	0.024950	0.002031	0	0.614156	0.513259	,CYR61
miR-490-5p	0.1944	0.0538	0.0587	0.3585	14	26	0.025948	0.002188	0	0.593100	0.513259	,GPCPD1,FOS
miR-509-3p/514	0.1389	0.0282	0.0424	0.2602	15	26	0.025948	0.002344	0	0.553560	0.513259	,CYR61,SOCS3
miR-30abcdef/30abe-5p/384-5p	0.4028	0.1625	0.1083	0.6625	16	31	0.030938	0.002500	0	0.618762	0.513259	,GPCPD1,CYP24A1,SOCS3
miR-760-5p	0.3056	0.1031	0.0875	0.5879	17	31	0.030938	0.002656	0	0.582365	0.513259	,SNX3,EGR1,ARRDC3,SOCS3
miR-187	0.0694	0.0067	0.0211	0.1693	18	32	0.031936	0.002812	0	0.567753	0.513259	,ARRDC3
miR-331/331-3p	0.2778	0.0864	0.0802	0.4194	19	34	0.033932	0.002969	0	0.571489	0.513259	,IL11,SOCS3,DUSP5
miR-876-5p/3167	0.2222	0.0734	0.0682	0.4754	20	34	0.033932	0.003125	0	0.542914	0.513259	,ANKRD1,CYP24A1,ARRDC3,SOCS3
miR-191	0.0833	0.0138	0.0300	0.2310	21	36	0.035928	0.003281	0	0.547476	0.513259	,EGR1
miR-543	0.3472	0.1402	0.1021	0.7281	22	38	0.037924	0.003438	0	0.551624	0.513259	,GPCPD1,CYR61,FOS,ARRDC3
miR-148ab-3p/152	0.2917	0.1099	0.0881	0.6117	23	38	0.037924	0.003594	0	0.527640	0.513259	,GPCPD1,ARRDC3,TMSB4X
miR-350	0.3889	0.1747	0.1126	0.9543	24	39	0.038922	0.003750	0	0.518962	0.513259	,EGR1,IL11,ARRDC3,SOCS3,MBL2
miR-340-5p	0.5000	0.2369	0.1320	0.9245	25	41	0.040918	0.003906	0	0.523752	0.513259	,GPCPD1,SNX3,CYR61,ARRDC3,SOCS3,MBL2
miR-450a/451a	0.0556	0.0048	0.0170	0.1376	26	44	0.043912	0.004063	0	0.540458	0.513259	,CYP24A1
miR-3082-5p/4797-5p	0.2778	0.1137	0.0856	0.6245	27	45	0.044910	0.004219	0	0.532269	0.513259	,GPCPD1,LCK,CYR61,ARRDC3
miR-219-2-3p/219-3p	0.1389	0.0431	0.0512	0.3655	28	45	0.044910	0.004375	0	0.513259	0.513259	,MBL2,DUSP5
miR-802.mpr	0.2222	0.0819	0.0743	0.4815	29	47	0.046906	0.004531	0	0.517586	0.515099	,CYP24A1,FOS,ARRDC3
miR-434-3p	0.1667	0.0529	0.0572	0.3457	30	49	0.048902	0.004687	0	0.521623	0.515099	,ANXA3,MBL2,TMSB4X
